EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,?
1313919,41,No,Travel_Rarely,1102,Cardiology,1,2,Life Sciences,1,2,Female,94,3,2,Nurse,4,Single,5993,19479,
1200302,49,No,Travel_Frequently,279,Maternity,8,1,Life Sciences,1,3,Male,61,2,2,Other,2,Married,5130,24907,
1060315,37,Yes,Travel_Rarely,1373,Maternity,2,2,Other,1,4,Male,92,2,1,Nurse,3,Single,2090,2396,
1272912,33,No,Travel_Frequently,1392,Maternity,3,4,Life Sciences,1,4,Female,56,3,1,Other,3,Married,2909,23159,
1414939,27,No,Travel_Rarely,591,Maternity,2,1,Medical,1,1,Male,40,3,1,Nurse,2,Married,3468,16632,
1633361,32,No,Travel_Frequently,1005,Maternity,2,2,Life Sciences,1,4,Male,79,3,1,Nurse,4,Single,3068,11864,
1329390,59,No,Travel_Rarely,1324,Maternity,3,3,Medical,1,3,Female,81,4,1,Nurse,1,Married,2670,9964,
1699288,30,No,Travel_Rarely,1358,Maternity,24,1,Life Sciences,1,4,Male,67,3,1,Nurse,3,Divorced,2693,13335,
1469740,38,No,Travel_Frequently,216,Maternity,23,3,Life Sciences,1,4,Male,44,2,3,Therapist,3,Single,9526,8787,
1101291,36,No,Travel_Rarely,1299,Maternity,27,3,Medical,1,3,Male,94,3,2,Nurse,3,Married,5237,16577,
1430504,35,No,Travel_Rarely,809,Maternity,16,3,Medical,1,1,Male,84,4,1,Nurse,2,Married,2426,16479,
1196281,29,No,Travel_Rarely,153,Maternity,15,2,Life Sciences,1,4,Female,49,2,2,Nurse,3,Single,4193,12682,
1207951,31,No,Travel_Rarely,670,Maternity,26,1,Life Sciences,1,1,Male,31,3,1,Other,3,Divorced,2911,15170,
1080660,34,No,Travel_Rarely,1346,Maternity,19,2,Medical,1,2,Male,93,3,1,Nurse,4,Divorced,2661,8758,
1420391,28,Yes,Travel_Rarely,103,Maternity,24,3,Life Sciences,1,3,Male,50,2,1,Nurse,3,Single,2028,12947,
1337254,29,No,Travel_Rarely,1389,Maternity,21,4,Life Sciences,1,2,Female,51,4,3,Therapist,1,Divorced,9980,10195,
1421335,32,No,Travel_Rarely,334,Maternity,5,2,Life Sciences,1,1,Male,80,4,1,Other,2,Divorced,3298,15053,
1262683,22,No,Non-Travel,1123,Maternity,16,2,Medical,1,4,Male,96,4,1,Nurse,4,Divorced,2935,7324,
1599218,53,No,Travel_Rarely,1219,Cardiology,2,4,Life Sciences,1,1,Female,78,2,4,Administrative,4,Married,15427,22021,
1634788,38,No,Travel_Rarely,371,Maternity,2,3,Life Sciences,1,4,Male,45,3,1,Other,4,Single,3944,4306,
1334559,24,No,Non-Travel,673,Maternity,11,2,Other,1,1,Female,96,4,2,Therapist,3,Divorced,4011,8232,
1402945,36,No,Travel_Rarely,1218,Cardiology,9,4,Life Sciences,1,3,Male,82,2,1,Other,1,Single,3407,6986,
1705718,34,No,Travel_Rarely,419,Neurology,7,4,Life Sciences,1,1,Female,53,3,3,Other,2,Single,11994,21293,
1880078,21,No,Travel_Rarely,391,Maternity,15,2,Life Sciences,1,3,Male,96,3,1,Other,4,Single,1232,19281,
1801346,34,No,Travel_Rarely,699,Maternity,6,1,Medical,1,2,Male,83,3,1,Other,1,Single,2960,17102,
1142160,53,No,Travel_Rarely,1282,Neurology,5,3,Other,1,3,Female,58,3,5,Other,3,Divorced,19094,10735,
1142062,32,Yes,Travel_Frequently,1125,Maternity,16,1,Life Sciences,1,2,Female,72,1,1,Other,1,Single,3919,4681,
1789756,42,No,Travel_Rarely,691,Cardiology,8,4,Marketing,1,3,Male,48,3,2,Nurse,2,Married,6825,21173,
1126009,44,No,Travel_Rarely,477,Maternity,7,4,Medical,1,1,Female,42,2,3,Nurse,4,Married,10248,2094,
1552176,46,No,Travel_Rarely,705,Cardiology,2,4,Marketing,1,2,Female,83,3,5,Administrative,1,Single,18947,22822,
1118605,33,No,Travel_Rarely,924,Maternity,2,3,Medical,1,3,Male,78,3,1,Nurse,4,Single,2496,6670,
1397325,44,No,Travel_Rarely,1459,Maternity,10,4,Other,1,4,Male,41,3,2,Nurse,4,Married,6465,19121,
1874834,30,No,Travel_Rarely,125,Maternity,9,2,Medical,1,4,Male,83,2,1,Nurse,3,Single,2206,16117,
1275746,39,No,Travel_Rarely,895,Cardiology,5,3,Technical Degree,1,4,Male,56,3,2,Other,4,Married,2086,3335,
1884939,24,Yes,Travel_Rarely,813,Maternity,1,3,Medical,1,2,Male,61,3,1,Other,4,Married,2293,3020,
1650304,43,No,Travel_Rarely,1273,Maternity,2,2,Medical,1,4,Female,72,4,1,Other,3,Divorced,2645,21923,
1058169,50,Yes,Travel_Rarely,869,Cardiology,3,2,Marketing,1,1,Male,86,2,1,Other,3,Married,2683,3810,
